0123;fraud1;01012017;123456789;234567
1234;fraud2;01012017;123456789;234567
4567;fraud3;01012017;123456789;234567
8910;fraud4;01012017;123456789;234567
0123;fraud1;01012017;123456789;234567
1234;fraud2;01012017;123456789;234567
4567;fraud3;01012017;123456789;234567
8910;fraud4;01012017;123456789;234567
0123;fraud1;01012017;123456789;234567
1234;fraud2;01012017;123456789;234567
4567;fraud3;01012017;123456789;234567
8910;fraud4;01012017;123456789;234567
0123;fraud1;01012017;123456789;234567
1234;fraud2;01012017;123456789;234567
4567;fraud3;01012017;123456789;234567
8910;fraud4;01012017;123456789;234567
0123;fraud1;01012017;123456789;234567
1234;fraud2;01012017;123456789;234567
4567;fraud3;01012017;123456789;234567
8910;fraud4;01012017;123456789;234567
0123;fraud1;01012017;123456789;234567
1234;fraud2;01012017;123456789;234567
4567;fraud3;01012017;123456789;234567
8910;fraud4;01012017;123456789;234567
0123;fraud1;01012017;123456789;234567
1234;fraud2;01012017;123456789;234567
4567;fraud3;01012017;123456789;234567
8910;fraud4;01012017;123456789;234567
0123;fraud1;01012017;123456789;234567
1234;fraud2;01012017;123456789;234567
4567;fraud3;01012017;123456789;234567
8910;fraud4;01012017;123456789;234567
0123;fraud1;01012017;123456789;234567
1234;fraud2;01012017;123456789;234567
4567;fraud3;01012017;123456789;234567
8910;fraud4;01012017;123456789;234567
0123;fraud1;01012017;123456789;234567
1234;fraud2;01012017;123456789;234567
4567;fraud3;01012017;123456789;234567
8910;fraud4;01012017;123456789;234567
0123;fraud1;01012017;123456789;234567
1234;fraud2;01012017;123456789;234567
4567;fraud3;01012017;123456789;234567
8910;fraud4;01012017;123456789;234567
0123;fraud1;01012017;123456789;234567
1234;fraud2;01012017;123456789;234567
4567;fraud3;01012017;123456789;234567
8910;fraud4;01012017;123456789;234567
